Year,Altersgruppe,Geschlecht,Value
05/2022,unter 1 Jahr,männlich,487
05/2022,1 bis 2 Jahre,männlich,1259
05/2022,3 bis 5 Jahre,männlich,2252
05/2022,6 bis 11 Jahre,männlich,5666
05/2022,12 bis 13 Jahre,männlich,1804
05/2022,14 bis 17 Jahre,männlich,3250
05/2022,18 bis 26 Jahre,männlich,1312
05/2022,27 bis 63 Jahre,männlich,6042
05/2022,64 Jahre und älter,männlich,1357
05/2022,Alter unbekannt,männlich,3
05/2022,unter 1 Jahr,weiblich,453
05/2022,1 bis 2 Jahre,weiblich,1226
05/2022,3 bis 5 Jahre,weiblich,2230
05/2022,6 bis 11 Jahre,weiblich,5467
05/2022,12 bis 13 Jahre,weiblich,1869
05/2022,14 bis 17 Jahre,weiblich,3243
05/2022,18 bis 26 Jahre,weiblich,5397
05/2022,27 bis 63 Jahre,weiblich,25598
05/2022,64 Jahre und älter,weiblich,3710
05/2022,Alter unbekannt,weiblich,2
05/2022,unter 1 Jahr,divers,
05/2022,1 bis 2 Jahre,divers,1
05/2022,3 bis 5 Jahre,divers,1
05/2022,6 bis 11 Jahre,divers,
05/2022,12 bis 13 Jahre,divers,
05/2022,14 bis 17 Jahre,divers,
05/2022,18 bis 26 Jahre,divers,
05/2022,27 bis 63 Jahre,divers,
05/2022,64 Jahre und älter,divers,
05/2022,Alter unbekannt,divers,
05/2022,unter 1 Jahr,unbekannt,3
05/2022,1 bis 2 Jahre,unbekannt,10
05/2022,3 bis 5 Jahre,unbekannt,17
05/2022,6 bis 11 Jahre,unbekannt,57
05/2022,12 bis 13 Jahre,unbekannt,17
05/2022,14 bis 17 Jahre,unbekannt,21
05/2022,18 bis 26 Jahre,unbekannt,33
05/2022,27 bis 63 Jahre,unbekannt,136
05/2022,64 Jahre und älter,unbekannt,36
05/2022,unter 1 Jahr,insgesamt,943
05/2022,1 bis 2 Jahre,insgesamt,2496
05/2022,3 bis 5 Jahre,insgesamt,4500
05/2022,6 bis 11 Jahre,insgesamt,11190
05/2022,12 bis 13 Jahre,insgesamt,3690
05/2022,14 bis 17 Jahre,insgesamt,6514
05/2022,18 bis 26 Jahre,insgesamt,6742
05/2022,27 bis 63 Jahre,insgesamt,31758
05/2022,64 Jahre und älter,insgesamt,5113
05/2022,Alter unbekannt,insgesamt,5
